1,1.0702864639148617,1.1729507446289062,9,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0197701802038526,1.1814470291137695,10,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0867492772366223,1.2257215976715088,11,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0491956413306638,1.1750926971435547,12,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.054119925044585,1.2229745388031006,13,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0977483106259227,1.1607909202575684,14,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0586628133840632,1.1724646091461182,15,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1129289058675758,1.2452843189239502,16,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.1387559454684915,1.1536502838134766,17,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0392468188677126,1.162261724472046,18,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.013882319326207,1.167560338973999,19,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 2, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0877535184211033,1.153348684310913,0,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0497346602997741,1.1406705379486084,1,{'V': 15, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0101916186945705,1.2560667991638184,2,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0233205472466766,1.242603063583374,3,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.040776882773747,1.142791509628296,4,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0387959672552423,1.2469604015350342,5,{'V': 30, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0726735903825526,1.1485021114349365,6,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.022200919982203,1.1783101558685303,7,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0929393331157855,1.148118495941162,8,{'V': 20, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
1,1.0583993985337716,1.161303997039795,9,{'V': 25, 'estimator': 'pointwise_extrapolation_estimator', 'lamda': 1e-05, 'max_depth': 1, 'min_samples_split': 5, 'order': 3, 'r_range_low': 0, 'r_range_up': 1, 'splitter': 'maxedge', 'step': 1, 'truncate_ratio_low': 0, 'truncate_ratio_up': 1}
